Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Home,Home
"Go to Home Page","Go to Home Page"
Brands,Brands
"Brand deleted","Brand deleted"
"New Brand","New Brand"
"Edit Brand","Edit Brand"
"The brand with ID ""%1"" does not exist.","The brand with ID ""%1"" does not exist."
"Something went wrong while editing the brand.","Something went wrong while editing the brand."
Catalog,Catalog
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"This brand no longer exists.","This brand no longer exists."
"The brand was saved successfully","The brand was saved successfully"
"Something went wrong while saving the brand.","Something went wrong while saving the brand."
"Uploader ""%1"" is not defined.","Uploader ""%1"" is not defined."
"The specified Catalog media URL format is not supported.","The specified Catalog media URL format is not supported."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"Could not save brand: %1","Could not save brand: %1"
"Brand with id ""%1"" does not exist.","Brand with id ""%1"" does not exist."
"Cannot delete brand with id %1","Cannot delete brand with id %1"
None,None
All,All
Active,Active
Inactive,Inactive
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File validation failed.","File validation failed."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Temporary table does not exist","Temporary table does not exist"
"Provided brand does not exist.","Provided brand does not exist."
"Provided brand no longer exists.","Provided brand no longer exists."
"Brand parameter be an object of type ""BrandInterface"" or its brand id.","Brand parameter be an object of type ""BrandInterface"" or its brand id."
"The brand URL key contains capital letters or disallowed symbols.","The brand URL key contains capital letters or disallowed symbols."
Edit,Edit
"Delete %1","Delete %1"
"Are you sure you want to delete brand ""%1""?","Are you sure you want to delete brand ""%1""?"
"No brands found.","No brands found."
"Show all","Show all"
"brand products","brand products"
"Brand URL Prefix","Brand URL Prefix"
"You need to refresh the cache.","You need to refresh the cache."
"Brand URL Suffix","Brand URL Suffix"
"Use Canonical Link Meta Tag For Brands","Use Canonical Link Meta Tag For Brands"
"Display Brand Filter","Display Brand Filter"
"Brands Options","Brands Options"
Frequency,Frequency
Priority,Priority
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Add Images into Sitemap","Add Images into Sitemap"
Title,Title
"Display Page Control","Display Page Control"
"Number of Brands per Page","Number of Brands per Page"
"Number of Brands to Display","Number of Brands to Display"
Template,Template
"Brands Grid Template","Brands Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"General Information","General Information"
Back,Back
Save,Save
"Save and Continue Edit","Save and Continue Edit"
General,General
Name,Name
Image,Image
"Allowed file types are jpg, jpeg, png, gif, svg.","Allowed file types are jpg, jpeg, png, gif, svg."
Logo,Logo
"Show in carousel","Show in carousel"
Content,Content
"Page Title","Page Title"
Description,Description
"Search Engine Optimization","Search Engine Optimization"
"URL Key","URL Key"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Brand Label Here","Brand Label Here"
"Add New Brand","Add New Brand"
"Delete brands","Delete brands"
"Are you sure you wan't to delete selected brands?","Are you sure you wan't to delete selected brands?"
ID,ID
Status,Status
Created,Created
Modified,Modified
"Brand Image Watermarks","Brand Image Watermarks"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Image Opacity","Image Opacity"
"Example format: 200x300.","Example format: 200x300."
"Image Size","Image Size"
"Image Position","Image Position"
